wpsl_id,name,status,permalink,description,excerpt,author,date,address,address2,city,state,zip,country,country_iso,lat,lng,hours,phone,fax,email,url,category,image
9148,Yes Organic -Georgia,publish,yes-organic-georgia,,,0,2016-11-30 09:47:10,4100 Georgia Ave NW,,Washignton,DC,20011,,US,38.940997,-77.025937,"monday: 9:00 AM-5:00 PM. tuesday: 9:00 AM-5:00 PM. wednesday: 9:00 AM-5:00 PM. thursday: 9:00 AM-5:00 PM. friday: 9:00 AM-5:00 PM. saturday: closed. sunday: closed. ",202-291-5790,,,,,
9149,Yeshiva Co-Op,publish,yeshiva-co-op,,,0,2016-11-30 09:47:10,930 Hickory,,Scranton,PA,18505,,US,41.394908,-75.656096,"monday: 9:00 AM-5:00 PM. tuesday: 9:00 AM-5:00 PM. wednesday: 9:00 AM-5:00 PM. thursday: 9:00 AM-5:00 PM. friday: 9:00 AM-5:00 PM. saturday: closed. sunday: closed. ",570-963-5699,,,,,
9147,Yes Organic Market-14th,publish,yes-organic-market-14th,,,0,2016-11-30 09:47:09,2123 14th Street NW,,Washington,DC,20009,,US,38.918523,-77.031597,"monday: 9:00 AM-5:00 PM. tuesday: 9:00 AM-5:00 PM. wednesday: 9:00 AM-5:00 PM. thursday: 9:00 AM-5:00 PM. friday: 9:00 AM-5:00 PM. saturday: closed. sunday: closed. ",202-232-6603,,,,,
9145,Yes Organic Market,publish,yes-organic-market,,,0,2016-11-30 09:47:08,5331 Baltimore Ave Sutie 101,,Hyattsville,MD,20781,,US,38.954998,-76.940028,"monday: 9:00 AM-5:00 PM. tuesday: 9:00 AM-5:00 PM. wednesday: 9:00 AM-5:00 PM. thursday: 9:00 AM-5:00 PM. friday: 9:00 AM-5:00 PM. saturday: closed. sunday: closed. ",301-779-1205,,,,,
9146,Yes Organic Market-12th,publish,yes-organic-market-12th,,,0,2016-11-30 09:47:08,3809 12th St NE,,Washington,DC,20017,,US,38.936856,-76.990373,"monday: 9:00 AM-5:00 PM. tuesday: 9:00 AM-5:00 PM. wednesday: 9:00 AM-5:00 PM. thursday: 9:00 AM-5:00 PM. friday: 9:00 AM-5:00 PM. saturday: closed. sunday: closed. ",202-832-7715,,,,,
9144,Yes organic-8th,publish,yes-organic-8th,,,0,2016-11-30 09:47:07,410 8th St. SE,,Washington,DC,20003,,US,38.883375,-76.994696,"monday: 9:00 AM-5:00 PM. tuesday: 9:00 AM-5:00 PM. wednesday: 9:00 AM-5:00 PM. thursday: 9:00 AM-5:00 PM. friday: 9:00 AM-5:00 PM. saturday: closed. sunday: closed. ",202-546-4325,,,,,
9142,Woodman's,publish,woodmans-16,,,0,2016-11-30 09:47:06,1099 S. Grand Ave.,,Sun Prairie,WI,53590,,US,43.164504,-89.266934,"monday: 9:00 AM-5:00 PM. tuesday: 9:00 AM-5:00 PM. wednesday: 9:00 AM-5:00 PM. thursday: 9:00 AM-5:00 PM. friday: 9:00 AM-5:00 PM. saturday: closed. sunday: closed. ",,,,,,
9143,Woodman's,publish,woodmans-17,,,0,2016-11-30 09:47:06,1600 E. Main St.,,Waukesha,WI,53186,,US,43.022183,-88.204503,"monday: 9:00 AM-5:00 PM. tuesday: 9:00 AM-5:00 PM. wednesday: 9:00 AM-5:00 PM. thursday: 9:00 AM-5:00 PM. friday: 9:00 AM-5:00 PM. saturday: closed. sunday: closed. ",,,,,,
9141,Woodman's,publish,woodmans-15,,,0,2016-11-30 09:47:05,3155 Mcfarland Rd.,,Rockford,IL,61114,,US,42.307321,-88.974995,"monday: 9:00 AM-5:00 PM. tuesday: 9:00 AM-5:00 PM. wednesday: 9:00 AM-5:00 PM. thursday: 9:00 AM-5:00 PM. friday: 9:00 AM-5:00 PM. saturday: closed. sunday: closed. ",,,,,,
9139,Woodman's,publish,woodmans-13,,,0,2016-11-30 09:47:04,8131 S. Howell Ave.,,Oak Creek,WI,53154,,US,42.896905,-87.915381,"monday: 9:00 AM-5:00 PM. tuesday: 9:00 AM-5:00 PM. wednesday: 9:00 AM-5:00 PM. thursday: 9:00 AM-5:00 PM. friday: 9:00 AM-5:00 PM. saturday: closed. sunday: closed. ",,,,,,
9140,Woodman's,publish,woodmans-14,,,0,2016-11-30 09:47:04,9515 State Road 16,,Onalaska,WI,54650,,US,43.87925,-91.176093,"monday: 9:00 AM-5:00 PM. tuesday: 9:00 AM-5:00 PM. wednesday: 9:00 AM-5:00 PM. thursday: 9:00 AM-5:00 PM. friday: 9:00 AM-5:00 PM. saturday: closed. sunday: closed. ",,,,,,
9138,Woodman's,publish,woodmans-12,,,0,2016-11-30 09:47:03,151 Hansen Blvd.,,North Aurora,IL,60515,,US,41.804375,-88.369605,"monday: 9:00 AM-5:00 PM. tuesday: 9:00 AM-5:00 PM. wednesday: 9:00 AM-5:00 PM. thursday: 9:00 AM-5:00 PM. friday: 9:00 AM-5:00 PM. saturday: closed. sunday: closed. ",,,,,,
9136,Woodman's,publish,woodmans-10,,,0,2016-11-30 09:47:02,2819 N. Lexington Dr.,,Janesville,WI,53545,,US,42.716778,-88.995993,"monday: 9:00 AM-5:00 PM. tuesday: 9:00 AM-5:00 PM. wednesday: 9:00 AM-5:00 PM. thursday: 9:00 AM-5:00 PM. friday: 9:00 AM-5:00 PM. saturday: closed. sunday: closed. ",,,,,,
9137,Woodman's,publish,woodmans-11,,,0,2016-11-30 09:47:02,W124 N8185 Hwy. 145,,Menomonee Falls,WI,53051,,US,43.176146,-88.073505,"monday: 9:00 AM-5:00 PM. tuesday: 9:00 AM-5:00 PM. wednesday: 9:00 AM-5:00 PM. thursday: 9:00 AM-5:00 PM. friday: 9:00 AM-5:00 PM. saturday: closed. sunday: closed. ",,,,,,
9134,Woodman's,publish,woodmans-8,,,0,2016-11-30 09:47:01,2855 Woodman Dr.,,Altoona,WI,54720,,US,45.165546,-91.685877,"monday: 9:00 AM-5:00 PM. tuesday: 9:00 AM-5:00 PM. wednesday: 9:00 AM-5:00 PM. thursday: 9:00 AM-5:00 PM. friday: 9:00 AM-5:00 PM. saturday: closed. sunday: closed. ",,,,,,
9135,Woodman's,publish,woodmans-9,,,0,2016-11-30 09:47:01,2400 Dousman St.,,Green Bay,WI,54303,,US,44.536981,-88.072003,"monday: 9:00 AM-5:00 PM. tuesday: 9:00 AM-5:00 PM. wednesday: 9:00 AM-5:00 PM. thursday: 9:00 AM-5:00 PM. friday: 9:00 AM-5:00 PM. saturday: closed. sunday: closed. ",,,,,,
